"Product","Category","Brand","Price"
Heavy Hitters | IN Gummy 100mg | H | Sour Watermelon (FA),Gummies,Heavy Hitters,20
Kushy Punch | Dispo 1g | I | Kushy Berry,Disposables,Kushy Punch,30
Jetty | SVLR Gummies 100mg | Sour Orange,Edibles,Jetty,23
Pacific Stone | Flower 3.5G | S | Starberry Cough,Eighths,Pacific Stone,20
Kushy Punch | Gummy 100mg | H | Peach Passionfruit (PROMO),Gummies,Kushy Punch,0.01
Stiiizy | Pod .5g | S | Blue Dream,Cartridges,Stiiizy,20
Stiiizy | Pod .5g | I | Skywalker OG,Cartridges,Stiiizy,20
Stiiizy | Pod .5g | H | Blue Burst,Cartridges,Stiiizy,20
Stiiizy | Pod .5g | I | Biscotti,Cartridges,Stiiizy,20
Stiiizy | Pod 1g | H | Granddaddy Purp,Cartridges,Stiiizy,35
Stiiizy | Pod 1g | I | White Raspberry,Cartridges,Stiiizy,35
Stiiizy | Pre-Roll 1g | H | Gelato,Pre-Rolls,Stiiizy,20
Stiiizy | AIO 1G | S | Blue Dream,Disposables,Stiiizy,40
CBX | Pre-Roll 0.75g | I | White Walker OG,Pre-Rolls,Cannabiotix (CBX),15
St. Ides | N Shot 100mg | Watermelon 4oz,Beverages,St. Ides,9
WHOA | Gummies 100mg | Blueberry,Gummies,WHOA,10
Sauce | Dispo 1g | I | Zkittles,Disposables,Sauce,30
Time Machine | Flower 3.5g | PR OG,Eighths,Time Machine,16
Stiiizy | Flower 3.5G | Mango Sherbert (LG),Eighths,Stiiizy,25
Stiiizy | AIO 1G | H | Pink Acai,Disposables,Stiiizy,40
Made | Flower 3.5g | H | Blue Dream,Eighths,Made,55
Stiiizy | LRD AIO 1G | S | Green Crack,Disposables,Stiiizy,45
Autumn Brands | Pre-Roll 1G | H | Wedding Cake,Pre-Rolls,Autumn Brands,10
Camino | Sour Gummies 100mg | Citrus Punch,Gummies,Camino,30
Stiiizy | Pod .5g | I | Watermelon Z,Cartridges,Stiiizy,20
Stiiizy | Pod .5g | H | Pineapple Runtz,Cartridges,Stiiizy,20
Stiiizy | 40's Mini Blunts .5g (5pk) | I | Biscotti,Pre-Rolls,Stiiizy,38
TSC | Flower 3.5g | I | Peanut Butter Breath,Eighths,TopShelf,55
Josh Wax | Pre Rolls .7g (5pk) | H | White Truffle,Pre-Rolls,Josh Wax,50
WHOA | Gummies 100mg | Tangerine,Gummies,WHOA,10
Pacific Stone | Pre-Rolls .35g (20pk) | H | Hybrid Blend,Pre-Rolls,Pacific Stone,43
Reefers | Pre-Rolls 1g (2pk) | Lemon OG,Pre-Rolls,Reefers,20
EV | Flower 1g | I | Melted Strawberries,Flower,Ember Valley,10
Stiiizy | AIO 1G | S | Strawberry Cough,Disposables,Stiiizy,40
WCC | IN Pre-Roll 1.2g | H | Frozen Cherries,Pre-Rolls,West Coast Cure (WCC),19
Stiiizy | AIO 1G | I | White Raspberry,Disposables,Stiiizy,40
Stiiizy | AIO 1G | S | Premium Jack,Disposables,Stiiizy,40
Stiiizy | LRD AIO 1G | H | Purple Zlushie,Disposables,Stiiizy,45
Stiiizy | AIO 1G | S | Magic Melon,Disposables,Stiiizy,40
Raw | Classic Cones (6pk) | Black 1 1/4 Size,Accessories,Raw,4
Uncle Arnie's | Bev 100mg | Iced Tea Lemonade 8oz,Beverages,Uncle Arnie's,12
Huxleys | Energy Gelcaps 5mg | S | Apple,Edibles,Huxleys,40
Dizzies | Pre Ground 3.5g | I | Blue Raspberry Slushy,Eighths,Dizzies,22
LEVEL | Hashtabs 25mg (10pk) | Indica,Edibles,Level,35
Stiiizy | Pod .5g | H | Birthday Cake,Cartridges,Stiiizy,20
Stiiizy | Pod 1g | I | Skywalker OG,Cartridges,Stiiizy,35
Stiiizy | Pod 1g | H | Strawnana,Cartridges,Stiiizy,35
